iter	Logloss
0	0.6695037636
1	0.6571441102
2	0.6385778794
3	0.6252368568
4	0.6113390322
5	0.5989349096
6	0.5873044276
7	0.5769813615
8	0.5670526258
9	0.559544619
10	0.5518675496
11	0.5466931165
12	0.5405873133
13	0.5357014608
14	0.5305575589
15	0.5247843026
16	0.5226843602
17	0.519036872
18	0.5152256845
19	0.510854207
20	0.5052668231
21	0.5019259286
22	0.5002320096
23	0.4970031196
24	0.493104053
25	0.4901500031
26	0.4874426506
27	0.4846613563
28	0.482749327
29	0.4800804853
30	0.4759291072
31	0.4731257324
32	0.4704793753
33	0.4686121934
34	0.4663186782
35	0.4625353149
36	0.4606546353
37	0.4562908152
38	0.4538138263
39	0.4514840442
40	0.4499454432
41	0.4470540183
42	0.4437138394
43	0.4429107646
44	0.4416316809
45	0.4395058269
46	0.4377090805
47	0.436341448
48	0.4343554278
49	0.4301378858
50	0.4290771627
51	0.4260050959
52	0.4233621939
53	0.4205891122
54	0.4192187339
55	0.4177898305
56	0.4160279136
57	0.4146920191
58	0.4121973547
59	0.4106743399
60	0.4098249172
61	0.4069348342
62	0.4050982718
63	0.4043046897
64	0.4029324305
65	0.4018194618
66	0.4009760203
67	0.4000659065
68	0.3981950905
69	0.3953110589
70	0.3935113546
71	0.3922211968
72	0.3909398944
73	0.3892935835
74	0.385823177
75	0.3845474708
76	0.3832127568
77	0.3813844573
78	0.3800473601
79	0.3768875246
80	0.3745245042
81	0.3736970635
82	0.3726964951
83	0.3703861139
84	0.3675578118
85	0.3674776017
86	0.3659708734
87	0.3651305529
88	0.3634948867
89	0.3612760018
90	0.3599351943
91	0.3578563704
92	0.35619046
93	0.3538257518
94	0.352637366
95	0.3514139166
96	0.3503199799
97	0.3492013671
98	0.3473979698
99	0.3462074891
