iter	Logloss
0	0.6695016137
1	0.6571399811
2	0.6385750042
3	0.6252355722
4	0.6113379833
5	0.5989346447
6	0.5873050002
7	0.5769811331
8	0.5670526444
9	0.5595445823
10	0.5518674971
11	0.5466930226
12	0.5405870014
13	0.5357017697
14	0.5305574452
15	0.5247842056
16	0.5226842657
17	0.5190371681
18	0.515225379
19	0.5108543038
20	0.5052667089
21	0.501925961
22	0.5002321107
23	0.4970030454
24	0.4931041488
25	0.4901498492
26	0.4874425027
27	0.4846613201
28	0.4827491609
29	0.4800805716
30	0.4759289682
31	0.4731257877
32	0.4704795377
33	0.4686121247
34	0.4663186248
35	0.462535371
36	0.460654401
37	0.4562906068
38	0.4538140608
39	0.4514838128
40	0.4499453387
41	0.4470542672
42	0.443713554
43	0.4429105478
44	0.4416315862
45	0.4395059543
46	0.4377091651
47	0.4363413687
48	0.4343555939
49	0.4301379697
50	0.4290770305
51	0.4260050081
52	0.4233622538
53	0.4205887935
54	0.4192186245
55	0.4177897828
56	0.416027801
57	0.4146919286
58	0.4121971935
59	0.4106741939
60	0.4098248294
61	0.4069348755
62	0.4050982006
63	0.4043049032
64	0.4029324558
65	0.4018192908
66	0.4009761027
67	0.4000659309
68	0.3981951755
69	0.3953110116
70	0.3935115479
71	0.3922213182
72	0.3909398718
73	0.3892935006
74	0.385823128
75	0.3845473673
76	0.3832125872
77	0.3813843935
78	0.3800474219
79	0.376887632
80	0.3745244258
81	0.3736969294
82	0.3726965772
83	0.37038603
84	0.3675577374
85	0.3674776887
86	0.3659708816
87	0.3651304822
88	0.3634948835
89	0.3612760928
90	0.3599351669
91	0.3578564605
92	0.3561902376
93	0.353825762
94	0.3526375088
95	0.351413726
96	0.3503199671
97	0.3492014218
98	0.3473979247
99	0.3462074929
